ID,NAME,HOST_ID,HOST_NAME,HOST_SINCE,HOST_LOCATION,HOST_VERIFICATIONS,NEIGHBORHOOD,PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,BATHROOMS_TEXT,BEDROOMS,BEDS,AMENITIES,PRICE,NUMBER_OF_REVIEWS,FIRST_REVIEW,LAST_REVIEW,REVIEW_SCORES_RATING
163941,* SPECIAL!* 2 bed Duplex ApT! Location!,8229,Terry,2009-02-19 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Entire condominium,Entire home/apt,6,1 bath,2,3,"[""Oven"", ""Washer"", ""Free street parking"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Hangers"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$275.00,228,2013-08-07,2019-12-30,4.65
182613,Great 2BR in Boston near everything w free parking,875739,Max,2011-07-26 00:00:00.000000000,United States,"[""email"", ""phone"", ""facebook"", ""reviews"", ""kba""]",Charlestown,Entire apartment,Entire home/apt,6,1 bath,2,4,"[""Lockbox"", ""Host greets you"", ""Oven"", ""Washer"", ""Dishwasher"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Bed linens"", ""Babysitter recommendations"", ""Wifi"", ""Shampoo"", ""Stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Free parking on premises"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""TV"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Air conditioning"", ""Bathtub"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Pack ’n Play/travel crib"", ""Dishes and silverware"", ""Smoke alarm""]",$199.00,108,2015-08-28,2021-05-05,4.79
210097,Treetop Haven in the City,1035747,Maria Elena,2011-08-29 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""offline_government_id"", ""kba"", ""government_id""]",Jamaica Plain,Entire house,Entire home/apt,2,1 bath,,1,"[""Host greets you"", ""Oven"", ""Body soap"", ""Lake access"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Bed linens"", ""Laundromat nearby"", ""Wifi"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Hangers"", ""Cooking basics"", ""Beach essentials"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Portable fans"", ""Sound system"", ""Air conditioning"", ""Conditioner"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$93.00,213,2014-05-01,2021-07-08,4.86
220676,Private room off the Freedom Trail.,1144302,Howard,2011-09-11 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""facebook"", ""reviews"", ""jumio"", ""government_id"", ""work_email""]",North End,Private room in townhouse,Private room,3,1 private bath,1,1,"[""Washer"", ""First aid kit"", ""Fire extinguisher"", ""Wifi"", ""Shampoo"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Dedicated workspace"", ""Air conditioning"", ""Essentials"", ""Long term stays allowed"", ""Smoke alarm""]",$145.00,252,2012-08-21,2021-06-10,4.91
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,2011-10-31 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""facebook"", ""reviews"", ""jumio"", ""government_id""]",South Boston,Entire apartment,Entire home/apt,4,1 bath,2,2,"[""Toaster"", ""Oven"", ""Washer"", ""Body soap"", ""Wine glasses"", ""Freezer"", ""Dishwasher"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Cleaning products"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Long term stays allowed"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Keurig coffee machine"", ""Outdoor dining area"", ""Hot water"", ""Refrigerator"", ""Security cameras on property"", ""Indoor fireplace"", ""Iron"", ""Private entrance"", ""Hangers"", ""BBQ grill"", ""Cooking basics"", ""Beach essentials"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Air conditioning"", ""Conditioner"", ""Essentials"", ""Kitchen"", ""Outdoor furniture"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$264.00,351,2013-10-05,2021-07-09,4.85
,19th Century Luxury | South End | 1BR 1BA #3,814298,Thatch,2011-07-13 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Entire apartment,Entire home/apt,4,1 bath,1,1,"[""Oven"", ""Washer"", ""Dishwasher"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""TV"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Air conditioning"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$280.00,94,2012-09-29,2021-06-05,4.22
349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,814298,Thatch,2011-07-13 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Entire apartment,Entire home/apt,2,1 bath,1,1,"[""Oven"", ""Washer"", ""Dishwasher"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""TV"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Air conditioning"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$200.00,111,2014-01-12,2019-08-04,4.4
447826,"Sweet Little House in JP, Boston",2053557,Hilary,2012-04-02 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""offline_government_id"", ""kba"", ""government_id""]",Jamaica Plain,Private room in house,Private room,2,1 shared bath,1,1,"[""Host greets you"", ""Oven"", ""Lake access"", ""Dishwasher"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""TV"", ""Backyard"", ""Cooking basics"", ""Coffee maker"", ""Extra pillows and blankets"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Outdoor furniture"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$71.00,316,2013-07-22,2021-07-05,4.81
507525,"Great location, sunny 1-bedroom!",2501324,Guy,2012-05-30 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""jumio"", ""offline_government_id"", ""government_id""]",Bay Village,Entire apartment,Entire home/apt,2,1 bath,1,2,"[""Washer"", ""Air conditioning"", ""Dryer"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Heating""]",$65.00,9,2013-03-05,2013-07-01,5
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,2010-02-26 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba"", ""work_email""]",South End,Private room in house,Private room,2,1 shared bath,1,1,"[""Hot water"", ""Host greets you"", ""TV with standard cable"", ""Air conditioning"", ""Cable TV"", ""Private entrance"", ""Luggage dropoff allowed"", ""Essentials"", ""Heating"", ""Paid parking off premises"", ""Long term stays allowed"", ""Wifi"", ""Hair dryer"", ""Smoke alarm""]",$148.00,175,2016-05-17,2019-10-31,4.49
568234,Stay on your own separate floor,2796082,Margaret,2012-07-01 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""jumio"", ""offline_government_id"", ""kba"", ""selfie"", ""government_id"", ""identity_manual""]",Jamaica Plain,Private room in house,Private room,4,1 private bath,2,2,"[""Lockbox"", ""Oven"", ""Washer"", ""Dishwasher"", ""Free street parking"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""Backyard"", ""Cooking basics"", ""Coffee maker"", ""Crib"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bathtub"", ""Essentials"", ""Long term stays allowed"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$109.00,278,2012-07-15,2021-07-06,4.86
583255,"Boston Beauty, Walk to C and B line",306407,Valery,2010-12-01 00:00:00.000000000,"Brookline, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba"", ""work_email""]",Brighton,Entire apartment,Entire home/apt,2,1 bath,1,1,"[""Washer"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""First aid kit"", ""Essentials"", ""Dryer"", ""Heating"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Dedicated workspace""]",$149.00,12,2012-10-01,2017-07-05,5
611081,Houseboat in Boston Harbor,3029783,Deborah,2012-07-23 00:00:00.000000000,US,"[""email"", ""phone"", ""reviews""]",Charlestown,Boat,Entire home/apt,6,1 bath,1,4,"[""Extra pillows and blankets"", ""Security cameras on property"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Paid parking on premises"", ""First aid kit"", ""Essentials"", ""Heating"", ""Bed linens"", ""TV"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Hair dryer"", ""Shampoo""]",$268.00,42,2018-08-03,2021-04-21,4.69
743211,Unique Find: At Home in the City!,2796082,Margaret,2012-07-01 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""jumio"", ""offline_government_id"", ""kba"", ""selfie"", ""government_id"", ""identity_manual""]",Jamaica Plain,Entire house,Entire home/apt,8,2.5 baths,4,5,"[""Lockbox"", ""Oven"", ""Washer"", ""Dishwasher"", ""Free street parking"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Indoor fireplace"", ""Iron"", ""Private entrance"", ""Hangers"", ""TV"", ""Backyard"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$571.00,70,2015-08-08,2020-10-05,4.84
743759,AVAILABLE NOW: Private room & shared bath,7969,Carolyn,2009-02-15 00:00:00.000000000,US,"[""email"", ""phone"", ""reviews""]",Roslindale,Private room in apartment,Private room,1,1 bath,1,1,"[""Air conditioning"", ""Essentials"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""Smoke alarm""]",$25.00,5,2013-04-01,2019-09-30,4.8
753446,6 miles away from downtown Boston!,3962517,Sami,2012-10-24 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""facebook"", ""reviews"", ""kba"", ""work_email""]",Roslindale,Private room in condominium,Private room,2,1 shared bath,1,2,"[""Hair dryer"", ""Smoke alarm"", ""Hangers"", ""Free street parking"", ""Essentials"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""Dishes and silverware"", ""Shampoo"", ""Coffee maker""]",$55.00,142,2015-09-20,2019-07-27,4.82
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Terry,2009-02-19 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Entire condominium,Entire home/apt,4,1 bath,,1,"[""Oven"", ""Washer"", ""Dishwasher"", ""Free street parking"", ""Fire extinguisher"", ""Wifi"", ""Shampoo"", ""Stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""TV"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Air conditioning"", ""Bathtub"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$157.00,57,2013-01-11,2020-03-30,4.85
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,2012-03-12 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""jumio"", ""offline_government_id"", ""government_id""]",Downtown,Entire loft,Entire home/apt,4,2 baths,1,2,"[""Elevator"", ""Oven"", ""Washer"", ""Body soap"", ""Dishwasher"", ""Freezer"", ""65 inch HDTV with Netflix, HBO Max, Amazon Prime Video, standard cable"", ""First aid kit"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""Paid parking off premises"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Portable fans"", ""Conditioner"", ""Essentials"", ""Kitchen"", ""Baking sheet"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$359.00,78,2015-10-11,2020-03-03,4.96
863788,"Roof deck-city views. Walk everywhere! 2BR, 2 bath",775932,Andy & Daljit,2011-07-04 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""offline_government_id"", ""kba"", ""selfie"", ""government_id""]",South End,Entire condominium,Entire home/apt,5,2 baths,2,2,"[""Toaster"", ""Lockbox"", ""Oven"", ""Washer"", ""Body soap"", ""Wine glasses"", ""Freezer"", ""Dishwasher"", ""Fire extinguisher"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Cleaning products"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Board games"", ""Refrigerator"", ""Iron"", ""Dining table"", ""Private entrance"", ""Hangers"", ""Ceiling fan"", ""BBQ grill"", ""Paid parking off premises"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Ethernet connection"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Portable fans"", ""Air conditioning"", ""Conditioner"", ""Barbecue utensils"", ""Essentials"", ""Kitchen"", ""Baking sheet"", ""Outdoor furniture"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$425.00,10,2013-04-18,2021-06-07,5
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,2013-01-17 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""offline_government_id"", ""kba"", ""selfie"", ""government_id"", ""identity_manual""]",North End,Entire apartment,Entire home/apt,4,1 bath,1,2,"[""TV with standard cable"", ""Air conditioning"", ""Cable TV"", ""Essentials"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""Smoke alarm""]",$145.00,449,2013-07-28,2021-07-05,4.67
1038465,HANCOCK TOWER/COPLEY ROOM,85770,Robert,2010-02-26 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba"", ""work_email""]",South End,Private room in house,Private room,1,1 shared bath,1,1,"[""Hot water"", ""Host greets you"", ""TV with standard cable"", ""Air conditioning"", ""Cable TV"", ""Private entrance"", ""Essentials"", ""Paid parking off premises"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""Smoke alarm""]",$134.00,257,2013-08-22,2019-12-07,4.51
,TESTING LISTING,-99999,John Smith,1995-10-31 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""telegraph""]",Dorchester,Entire apartment,Entire home/apt,99,60 baths,99,100,"[""Breakfast"", ""Air conditioning"", ""Free parking on premises"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""Coffee maker""]",$999.99,1,2025-10-31,2025-10-31,5
1055627,Spacious 1 bdrm in Beacon Hill,4299002,Lauren,2012-12-01 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""facebook"", ""reviews""]",Downtown,Entire apartment,Entire home/apt,3,1 bath,1,1,"[""Hot water"", ""Elevator"", ""Host greets you"", ""TV with standard cable"", ""Washer"", ""Air conditioning"", ""Iron"", ""Cable TV"", ""Smoke alarm"", ""Hangers"", ""Luggage dropoff allowed"", ""Heating"", ""Dryer"", ""Fire extinguisher"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Dedicated workspace""]",$160.00,8,2013-04-16,2018-09-09,4.25
1077105,"Studio Apt. for Rent in South End,",5927277,J,2013-04-14 00:00:00.000000000,US,"[""email"", ""phone""]",South End,Entire apartment,Entire home/apt,2,1 bath,,1,"[""Long term stays allowed""]",$176.00,0,,,
1109224,4 bedroom Victorian Condo unit,1531239,Lita,2011-12-23 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""facebook"", ""reviews"", ""kba""]",Jamaica Plain,Entire apartment,Entire home/apt,8,2 baths,4,6,"[""Building staff"", ""Oven"", ""Washer"", ""Dishwasher"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Wifi"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Indoor fireplace"", ""Iron"", ""Private entrance"", ""Hangers"", ""Backyard"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""TV with standard cable"", ""Air conditioning"", ""Conditioner"", ""Bathtub"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$448.00,78,2016-09-11,2021-06-19,4.73
